96.1
wykres

96.2
stosunek miasto:wies	
2013	1,53
2050	1,24
	
96.3
mezczyzna w miescie	
2013	39
2050	48
	
96.4
2013	49
2014	49
2015	49
2016	49
2017	48
2018	49
2019	48
2020	49
2021	50
2022	51
2023	50
2024	51
2025	52
2026	51
2027	51
2028	52
2029	53
2030	53
2031	53
2032	52
2033	53
2034	53
2035	54
2036	55
2037	54
2038	55
2039	56
2040	57
2041	56
2042	57
2043	57
2044	58
2045	59
2046	60
2047	59
2048	60
2049	61
2050	61
	
96.5
wykres

ROK	PRODUKCYJNI %
2013	69,00%
2014	69,00%
2015	69,00%
2016	69,00%
2017	68,00%
2018	68,00%
2019	67,00%
2020	67,00%
2021	66,00%
2022	66,00%
2023	65,00%
2024	64,00%
2025	64,00%
2026	64,00%
2027	63,00%
2028	63,00%
2029	63,00%
2030	63,00%
2031	63,00%
2032	63,00%
2033	63,00%
2034	63,00%
2035	63,00%
2036	63,00%
2037	63,00%
2038	62,00%
2039	62,00%
2040	62,00%
2041	62,00%
2042	61,00%
2043	61,00%
2044	61,00%
2045	60,00%
2046	60,00%
2047	59,00%
2048	58,00%
2049	58,00%
2050	57,00%

